,BDG,orders,tickets,cpo,cpt,os,vertical
adwords,4258096700.0,3688,5733.42522756827,1154581.5347071583,742679.3811708948,0.14253690963901985,hotel
loyalty,1398819000.0,1713,2615,816590.1926444834,534921.2237093691,0.06620545721573781,hotel
crm,871100000.0,1034,1710,842456.4796905222,509415.2046783626,0.039962897116796785,hotel
campaign,5036200000.0,4939,8567,1019680.0971856652,587860.3945371775,0.19088660431321017,hotel
affiliate,258730400.0,219,527,1181417.3515981736,490949.5256166983,0.008464095230733555,hotel
cross_sell,125900000.0,180,322,699444.4444444445,390993.7888198758,0.006956790600602922,hotel
other_voucher,206970000.0,247,450,837935.2226720648,459933.3333333333,0.009546262657494009,hotel
other,0,17542,30446,0,0,0.6779778928654248,hotel
pr,2500000000.0,0,0,0,0,0,hotel
sms,2463956950.0,0,0,0,0,0,hotel
social,200000000.0,0,0,0,0,0,hotel
display,0.0,0,0,0,0,0,hotel
seo,54000000.0,0,0,0,0,0,hotel
offline,4200000000.0,,,,,,hotel
total,21573773050.0,25874,44637,671476.1169513798,389223.58245401795,1.0,hotel
adwords,0.0,0,0.0,,,0.0,flight
loyalty,1045500000.0,2460,3512,425000.0,297693.62186788156,0.08400778608749103,flight
crm,262500000.0,673,900,390044.5765230312,291666.6666666667,0.02298261790117133,flight
campaign,28600000.0,62,97,461290.32258064515,294845.3608247423,0.0021172694054570913,flight
affiliate,201710570.0,233,294,865710.6008583691,686090.3741496599,0.007956835023733908,flight
cross_sell,,,,,,,flight
other_voucher,194900000.0,333,457,585285.2852852853,426477.0240700219,0.011371785677696956,flight
other,0,25522,38974,0,0,0.8715637059044496,flight
pr,2280000000.0,0,0,0,0,0,flight
sms,81984120.0,0,0,0,0,0,flight
social,0.0,0,0,0,0,0,flight
display,0.0,0,0,0,0,0,flight
seo,27000000.0,0,0,0,0,0,flight
offline,4200000000.0,,,,,,flight
total,8322194690.0,29283,44234,140770.91452378512,93190.63819686214,1.0,flight
adwords,1199065760.0,36722,50332.625,32652.517836719133,23822.833798157757,0.33359375,bus
loyalty,109250000.0,2185,2762,50000.0,39554.67052860246,0.01984920058139535,bus
crm,170850000.0,3412,4456,50073.27080890973,38341.56193895871,0.030995639534883723,bus
campaign,138650000.0,2773,3957,50000.0,35039.171089209,0.02519077034883721,bus
affiliate,92580000.0,949,1200,97555.32139093782,77150.0,0.008621002906976745,bus
cross_sell,,,,,,,bus
