Registered Date,Sum of New Etl Room Nights
2023-05-23,1672
2023-05-24,1881
2023-05-25,1559
2023-05-26,1289
2023-05-27,1779
2023-05-28,1817
2023-05-29,1718
2023-05-30,1594
2023-05-31,1661
2023-06-01,1699
2023-06-02,1172
2023-06-03,1416
2023-06-04,1170
2023-06-05,1128
2023-06-06,1368
2023-06-07,1390
2023-06-08,1177
2023-06-09,961
2023-06-10,1305
2023-06-11,1496
2023-06-12,1507
2023-06-13,1321
2023-06-14,1378
2023-06-15,1210
2023-06-16,1005
2023-06-17,1188
2023-06-18,1443
2023-06-19,1559
2023-06-20,1476
2023-06-21,1418
2023-06-22,1314
2023-06-23,910
2023-06-24,1334
2023-06-25,1456
2023-06-26,1349
2023-06-27,1356
2023-06-28,1325
2023-06-29,1075
2023-06-30,955
2023-07-01,1433
2023-07-02,1466
2023-07-03,1466
2023-07-04,1419
2023-07-05,1373
2023-07-06,1190
2023-07-07,1034
2023-07-08,1577
2023-07-09,1750
2023-07-10,1528
2023-07-11,1397
2023-07-12,1459
2023-07-13,1224
2023-07-14,1059
2023-07-15,1467
2023-07-16,1493
2023-07-17,1427
2023-07-18,1526
2023-07-19,1391
2023-07-20,1449
2023-07-21,1241
